term,category,shape,n_words,canonical_ok,evaluated_n,evaluated_caught,evaluated_rate,synthetic_n,synthetic_caught,synthetic_rate,failing_operators
Common Weakness Enumeration,security,phrase,3,yes,10,9,0.900,10,9,0.900,split_word
Docker,software,single_word,1,yes,10,9,0.900,10,9,0.900,
RAID,hardware,acronym,1,yes,12,11,0.917,10,9,0.900,
SCSI,hardware,acronym,1,yes,12,11,0.917,10,9,0.900,
UEFI,hardware,acronym,1,yes,12,11,0.917,10,9,0.900,
WebAuthn,security,single_word,1,yes,10,9,0.900,10,9,0.900,drop_last
access point,networking,phrase,2,yes,10,9,0.900,10,9,0.900,swap_words
access port,networking,phrase,2,yes,10,9,0.900,10,9,0.900,swap_words
attribute-based access control,security,phrase,4,yes,10,9,0.900,10,9,0.900,merge_words
authentication,security,single_word,1,yes,10,9,0.900,10,9,0.900,drop_last
average handle time,general,phrase,3,yes,10,9,0.900,10,9,0.900,split_word
bootkit,security,single_word,1,yes,10,9,0.900,10,9,0.900,
botnet,security,single_word,1,yes,10,9,0.900,10,9,0.900,
client,networking,single_word,1,yes,10,9,0.900,10,9,0.900,
content delivery network,networking,phrase,3,yes,10,9,0.900,10,9,0.900,split_word
continuous deployment,software,phrase,2,yes,10,9,0.900,10,9,0.900,swap_words
cross-site request forgery,security,phrase,4,yes,10,9,0.900,10,9,0.900,split_word
directory traversal,security,phrase,2,yes,10,9,0.900,10,9,0.900,swap_words
dynamic host configuration protocol,networking,phrase,4,yes,10,9,0.900,10,9,0.900,merge_words
extended detection and response,security,phrase,4,yes,10,9,0.900,10,9,0.900,split_word
hardware security module,security,phrase,3,yes,10,9,0.900,10,9,0.900,merge_words
honeynet,security,single_word,1,yes,10,9,0.900,10,9,0.900,
identity and access management,security,phrase,4,yes,10,9,0.900,10,9,0.900,split_word
incident management,general,phrase,2,yes,10,9,0.900,10,9,0.900,split_word
incident response,security,phrase,2,yes,10,9,0.900,10,9,0.900,swap_words
indicator of compromise,security,phrase,3,yes,10,9,0.900,10,9,0.900,split_word
insecure deserialization,security,phrase,2,yes,10,9,0.900,10,9,0.900,split_word
intrusion detection system,security,phrase,3,yes,10,9,0.900,10,9,0.900,merge_words
jitter,networking,single_word,1,yes,10,9,0.900,10,9,0.900,
keepalive,networking,single_word,1,yes,10,9,0.900,10,9,0.900,
key management service,security,phrase,3,yes,10,9,0.900,10,9,0.900,split_word
keylogger,security,single_word,1,yes,10,9,0.900,10,9,0.900,
latency,networking,single_word,1,yes,10,9,0.900,10,9,0.900,
link aggregation,networking,phrase,2,yes,10,9,0.900,10,9,0.900,merge_words
malware,security,single_word,1,yes,10,9,0.900,10,9,0.900,
managed detection and response,security,phrase,4,yes,10,9,0.900,10,9,0.900,drop_filler
network address translation,networking,phrase,3,yes,10,9,0.900,10,9,0.900,merge_words
network segmentation,security,phrase,2,yes,10,9,0.900,10,9,0.900,split_word
orchestration,software,single_word,1,yes,10,9,0.900,10,9,0.900,
package repository,software,phrase,2,yes,10,9,0.900,10,9,0.900,split_word
passkey,security,single_word,1,yes,10,9,0.900,10,9,0.900,
penetration testing,security,phrase,2,yes,10,9,0.900,10,9,0.900,split_word
phishing,security,single_word,1,yes,10,9,0.900,10,9,0.900,
privileged access management,security,phrase,3,yes,10,9,0.900,10,9,0.900,merge_words
problem management,general,phrase,2,yes,10,9,0.900,10,9,0.900,merge_words
runtime environment,software,phrase,2,yes,10,9,0.900,10,9,0.900,merge_words
security information and event management,security,phrase,5,yes,10,9,0.900,10,9,0.900,split_word
server,networking,single_word,1,yes,10,9,0.900,10,9,0.900,
service desk,general,phrase,2,yes,10,9,0.900,10,9,0.900,respell
thermal throttling,hardware,phrase,2,yes,10,9,0.900,10,9,0.900,split_word
threat intelligence,security,phrase,2,yes,10,9,0.900,10,9,0.900,split_word
use-after-free,security,phrase,3,yes,10,9,0.900,10,9,0.900,swap_words
virtual private network,networking,phrase,3,yes,10,9,0.900,10,9,0.900,merge_words
vulnerability assessment,security,phrase,2,yes,10,9,0.900,10,9,0.900,merge_words
Common Vulnerabilities and Exposures,security,phrase,4,yes,10,10,1.000,10,10,1.000,
Common Vulnerability Scoring System,security,phrase,4,yes,10,10,1.000,10,10,1.000,
Dockerfile,software,single_word,1,yes,10,10,1.000,10,10,1.000,
ECC memory,hardware,phrase,2,yes,11,10,0.909,10,10,1.000,spell_token
EtherChannel,networking,single_word,1,yes,10,10,1.000,10,10,1.000,
HTTP Strict Transport Security,security,phrase,4,yes,11,10,0.909,10,10,1.000,spell_token
Kubernetes,software,single_word,1,yes,10,10,1.000,10,10,1.000,
TOCTOU,security,acronym,1,yes,12,10,0.833,10,10,1.000,"spelled, spelled_alt"
bandwidth,networking,single_word,1,yes,10,10,1.000,10,10,1.000,
bootloader,hardware,single_word,1,yes,10,10,1.000,10,10,1.000,
certificate,security,single_word,1,yes,10,10,1.000,10,10,1.000,
chipset,hardware,single_word,1,yes,10,10,1.000,10,10,1.000,
configuration item,general,phrase,2,yes,10,10,1.000,10,10,1.000,
container,software,single_word,1,yes,10,10,1.000,10,10,1.000,
containerization,software,single_word,1,yes,10,10,1.000,10,10,1.000,
content security policy,security,phrase,3,yes,10,10,1.000,10,10,1.000,
continuous integration,software,phrase,2,yes,10,10,1.000,10,10,1.000,
credentials,security,single_word,1,yes,10,10,1.000,10,10,1.000,
database,software,single_word,1,yes,10,10,1.000,10,10,1.000,
domain name system,networking,phrase,3,yes,10,10,1.000,10,10,1.000,
electrostatic discharge,hardware,phrase,2,yes,10,10,1.000,10,10,1.000,
encryption,security,single_word,1,yes,10,10,1.000,10,10,1.000,
endpoint,networking,single_word,1,yes,10,10,1.000,10,10,1.000,
escalation,general,single_word,1,yes,10,10,1.000,10,10,1.000,
exploit,security,single_word,1,yes,10,10,1.000,10,10,1.000,
firewall,networking,single_word,1,yes,10,10,1.000,10,10,1.000,
firmware,hardware,single_word,1,yes,10,10,1.000,10,10,1.000,
first contact resolution,general,phrase,3,yes,10,10,1.000,10,10,1.000,
gateway,networking,single_word,1,yes,10,10,1.000,10,10,1.000,
graphical user interface,software,phrase,3,yes,10,10,1.000,10,10,1.000,
heatsink,hardware,single_word,1,yes,10,10,1.000,10,10,1.000,
honeypot,security,single_word,1,yes,10,10,1.000,10,10,1.000,
hypervisor,hardware,single_word,1,yes,10,10,1.000,10,10,1.000,
infrastructure as code,software,phrase,3,yes,10,10,1.000,10,10,1.000,
intrusion prevention system,security,phrase,3,yes,10,10,1.000,10,10,1.000,
key rotation,security,phrase,2,yes,10,10,1.000,10,10,1.000,
localhost,networking,single_word,1,yes,10,10,1.000,10,10,1.000,
microsegmentation,security,single_word,1,yes,10,10,1.000,10,10,1.000,
microservice,software,single_word,1,yes,10,10,1.000,10,10,1.000,
motherboard,hardware,single_word,1,yes,10,10,1.000,10,10,1.000,
operational level agreement,general,phrase,3,yes,10,10,1.000,10,10,1.000,
port security,networking,phrase,2,yes,10,10,1.000,10,10,1.000,
printer,hardware,single_word,1,yes,10,10,1.000,10,10,1.000,
ransomware,security,single_word,1,yes,10,10,1.000,10,10,1.000,
restore,general,single_word,1,yes,10,10,1.000,10,10,1.000,
rootkit,security,single_word,1,yes,10,10,1.000,10,10,1.000,
sandboxing,security,single_word,1,yes,10,10,1.000,10,10,1.000,
solid-state drive,hardware,phrase,3,yes,10,10,1.000,10,10,1.000,
subnetting,networking,single_word,1,yes,10,10,1.000,10,10,1.000,
ticket,general,single_word,1,yes,10,10,1.000,10,10,1.000,
version control system,software,phrase,3,yes,10,10,1.000,10,10,1.000,
AHT,general,acronym,1,yes,2,2,1.000,0,0,,
